Approved Symbol	First Design
KDM5A	IMPACT-341
KDM5C	IMPACT-341
KDM6A	IMPACT-341
KDR	IMPACT-341
KEAP1	IMPACT-341
KIT	IMPACT-341
KLF4	IMPACT-341
KLF5	IMPACT-505
KMT2A	IMPACT-341
KMT2B	IMPACT-468
KMT2C	IMPACT-341
KMT2D	IMPACT-341
KMT5A	IMPACT-468
KNSTRN	IMPACT-468
KRAS	IMPACT-341
LATS1	IMPACT-341
LATS2	IMPACT-341
LMO1	IMPACT-341
LYN	IMPACT-468
LZTR1	IMPACT-505
MAD2L2	IMPACT-505
MALT1	IMPACT-410
MAP2K1	IMPACT-341
MAP2K2	IMPACT-341
MAP2K4	IMPACT-341
MAP3K1	IMPACT-341
MAP3K13	IMPACT-341
MAP3K14	IMPACT-410
MAPK1	IMPACT-341
MAPK3	IMPACT-410
MAPKAP1	IMPACT-468
MAX	IMPACT-341
MCL1	IMPACT-341
MDC1	IMPACT-341
MDM2	IMPACT-341
MDM4	IMPACT-341
MED12	IMPACT-341
MEF2B	IMPACT-341
MEN1	IMPACT-341
MET	IMPACT-341
MGA	IMPACT-410
MITF	IMPACT-341
MLH1	IMPACT-341
MLLT1	IMPACT-505
MPL	IMPACT-341
MRE11A	IMPACT-341
MSH2	IMPACT-341
MSH3	IMPACT-468
MSH6	IMPACT-341
MSI1	IMPACT-468
MSI2	IMPACT-468
MST1	IMPACT-410
MST1R	IMPACT-410
MTAP	IMPACT-505
MTOR	IMPACT-341
MUTYH	IMPACT-341
MYC	IMPACT-341
MYCL1	IMPACT-341
MYCN	IMPACT-341
MYD88	IMPACT-341
MYOD1	IMPACT-341
NADK	IMPACT-505
NBN	IMPACT-341
NCOA3	IMPACT-410
NCOR1	IMPACT-341
NEGR1	IMPACT-410
NF1	IMPACT-341
NF2	IMPACT-341
NFE2L2	IMPACT-341
NFKBIA	IMPACT-410
NKX2-1	IMPACT-341
NKX3-1	IMPACT-341
NOTCH1	IMPACT-341
NOTCH2	IMPACT-341
NOTCH3	IMPACT-341
NOTCH4	IMPACT-341
NPM1	IMPACT-341
NRAS	IMPACT-341
NSD1	IMPACT-341
NTHL1	IMPACT-468
NTRK1	IMPACT-341
NTRK2	IMPACT-341
NTRK3	IMPACT-341
NUF2	IMPACT-468
NUP93	IMPACT-410
PAK1	IMPACT-341
PAK7	IMPACT-341
PALB2	IMPACT-341
PARK2	IMPACT-341
PARP1	IMPACT-341
PAX5	IMPACT-341
PBRM1	IMPACT-341
PDCD1	IMPACT-341
PDCD1LG2	IMPACT-468
PDGFRA	IMPACT-341
PDGFRB	IMPACT-341
PDPK1	IMPACT-341
PGBD5	IMPACT-505
PGR	IMPACT-410
PHF6	IMPACT-505
PHOX2B	IMPACT-341
PIK3C2G	IMPACT-341
PIK3C3	IMPACT-341
PIK3CA	IMPACT-341
PIK3CB	IMPACT-341
PIK3CD	IMPACT-341
PIK3CG	IMPACT-341
PIK3R1	IMPACT-341
PIK3R2	IMPACT-341
PIK3R3	IMPACT-341
PIM1	IMPACT-341
PLCG2	IMPACT-410
PLK2	IMPACT-341
PMAIP1	IMPACT-341
PMS1	IMPACT-341
PMS2	IMPACT-341
PNRC1	IMPACT-341
POLD1	IMPACT-410
POLE	IMPACT-341
POT1	IMPACT-505
PPARG	IMPACT-468
PPM1D	IMPACT-410
PPP2R1A	IMPACT-341
PPP4R2	IMPACT-468
PPP6C	IMPACT-410
PRDM1	IMPACT-341
PRDM14	IMPACT-468
PREX2	IMPACT-468
